rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
137,10,0.967557,64,gelu,0.635365,4.29977,0.00237353,95,False,6.85045e-06,109.9
138,37,0.967557,32,gelu,0.286656,3.26824,1.55354e-05,100,True,0.000305154,124.3
139,57,0.967557,32,gelu,0.207966,5.54087,8.26342e-06,60,False,2.31833e-06,126.8
140,59,0.967557,32,gelu,0.332892,7.07308,0.000584957,65,False,7.56538e-08,96.1
141,72,0.967557,64,gelu,0.55851,6.62875,0.000370415,95,False,4.75685e-08,99.8
142,80,0.967557,64,gelu,0.333047,7.75278,0.000100679,50,False,2.85899e-07,101.6
143,116,0.967557,32,gelu,0.684631,3.93478,0.000278277,85,False,8.49753e-08,140.7
144,124,0.967557,64,gelu,0.128896,7.31507,0.000223467,85,True,1.2336e-08,109.8
145,187,0.967557,32,gelu,0.616956,0.00403159,0.00310504,85,True,5.92111e-06,149.9
146,23,0.965649,64,gelu,0.604905,1.28344,0.000227412,30,False,1.03729e-08,85.8
147,29,0.965649,32,relu,0.304773,5.84361,3.70006e-05,30,True,0.000740659,119.5
148,68,0.965649,64,relu,0.452609,5.36584,4.31362e-05,20,False,4.62711e-07,97.7
149,85,0.965649,64,gelu,0.577581,8.11272,0.000477136,90,True,1.45831e-08,100.1
150,147,0.965649,32,gelu,0.629061,3.51087,0.000252956,85,True,9.84699e-06,159.3
151,71,0.963740,64,gelu,0.580099,7.51385,0.000124635,85,False,1.74562e-08,99.6
152,88,0.963740,32,gelu,0.280579,8.28536,0.00072295,80,False,1.59298e-06,123.4
153,97,0.963740,64,relu,0.399328,7.14825,0.00105636,90,False,4.03254e-07,111.5
154,120,0.963740,64,gelu,0.270975,3.26664,0.00195039,90,False,1.67478e-08,108.3
155,5,0.961832,16,relu,0.098647,8.28738,1.64082e-06,40,False,2.27376e-07,166.0
156,11,0.961832,64,gelu,0.241702,0.0896165,0.000292336,10,False,1.80876e-06,25.5
157,14,0.961832,64,gelu,0.161061,4.00956,4.25119e-05,25,False,5.83214e-07,69.7
158,16,0.961832,64,gelu,0.653286,1.80892,0.000650365,40,False,1.24736e-08,97.2
159,21,0.961832,64,gelu,0.52049,3.02627,0.00164608,15,False,1.27728e-08,46.6
160,65,0.961832,64,gelu,0.461638,2.22109,0.000261834,80,False,1.92808e-08,100.3
161,67,0.961832,32,gelu,0.364726,0.554628,0.00312109,30,True,1.87288e-05,48.6
