rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
76,166,0.884615,16,gelu,0.244694,9.18748,0.000732785,65,False,0.000129714,35.8
77,168,0.884615,16,gelu,0.548054,8.52135,0.00117459,90,False,2.87922e-06,55.2
78,171,0.884615,16,gelu,0.541992,3.01401,0.00116501,95,False,5.68536e-05,56.9
79,173,0.884615,16,gelu,0.589931,3.24609,0.00145335,100,False,4.6789e-05,61.2
80,177,0.884615,16,gelu,0.480735,9.69731,0.000778007,100,True,2.19181e-05,58.0
81,178,0.884615,16,gelu,0.463609,9.48886,0.000371609,100,False,1.69669e-05,60.4
82,182,0.884615,16,gelu,0.563342,9.40884,0.0011919,100,False,5.3985e-05,59.2
83,188,0.884615,16,gelu,0.458252,9.54841,0.0016118,90,False,2.44004e-05,56.8
84,189,0.884615,16,gelu,0.470474,9.27544,0.000809987,75,False,1.50767e-06,46.6
85,194,0.884615,16,gelu,0.516213,3.40038,0.00202701,95,False,5.29146e-05,62.2
86,195,0.884615,16,gelu,0.49297,4.62927,0.00100703,90,False,6.97058e-05,59.1
87,196,0.884615,16,gelu,0.550728,4.39021,0.00121733,80,False,0.000120215,51.0
88,10,0.871795,64,gelu,0.635365,4.29977,0.00237353,95,False,6.85045e-06,45.4
89,26,0.871795,64,gelu,0.627836,8.34944,0.00208287,90,False,7.20749e-07,49.1
90,27,0.871795,64,gelu,0.591304,8.12421,0.000513186,80,False,3.36311e-06,50.6
91,34,0.871795,64,gelu,0.472835,9.98284,0.000596472,75,False,3.20639e-06,43.7
92,50,0.871795,64,relu,0.508619,6.7016,0.00329846,90,False,2.45431e-06,53.8
93,51,0.871795,16,relu,0.541353,8.92491,0.000153614,80,False,7.20334e-07,59.3
94,61,0.871795,64,gelu,0.509577,5.65805,0.00104102,90,False,2.57773e-05,56.6
95,62,0.871795,64,gelu,0.569215,6.32958,0.00044248,90,False,1.0183e-05,55.7
96,68,0.871795,16,gelu,0.00827106,2.42724,0.00174886,95,True,1.33058e-08,61.5
