rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
72,24,0.971374,64,gelu,0.509416,2.88514,0.000383816,100,False,0.000191947,373.5
73,32,0.971374,16,gelu,0.538327,5.08254,0.000667499,75,False,5.55247e-07,407.4
74,45,0.971374,16,gelu,0.461983,2.25158,0.00486922,85,True,8.3218e-06,360.6
75,50,0.971374,16,gelu,0.556093,1.57808,5.92137e-05,60,True,6.80752e-07,331.4
76,55,0.971374,32,gelu,0.624862,1.88303,0.00297102,85,True,2.02219e-06,296.0
77,63,0.971374,32,gelu,0.695739,6.85277,0.00343064,55,True,1.55729e-06,281.9
78,69,0.971374,32,gelu,0.673829,5.63391,0.00495068,45,True,2.03577e-05,344.5
79,78,0.971374,32,gelu,0.596684,5.64946,0.00185509,60,True,2.4073e-06,293.3
80,79,0.971374,32,relu,0.659785,6.09366,0.0010744,40,True,1.07566e-06,261.2
81,80,0.971374,32,gelu,0.634239,7.77699,0.000519451,55,True,1.04088e-05,244.4
82,92,0.971374,32,gelu,0.635205,5.2131,0.0027878,15,True,8.5466e-06,277.3
83,97,0.971374,32,relu,0.5877,4.53458,0.000448362,15,True,2.99149e-06,162.4
84,102,0.971374,32,gelu,0.666181,6.00641,0.00189216,25,True,6.49858e-06,223.2
85,106,0.971374,32,gelu,0.397589,1.32323,0.00376362,50,True,1.57536e-06,207.4
86,117,0.971374,16,relu,0.699619,4.90045,0.00146789,55,True,1.43265e-05,279.2
87,121,0.971374,32,gelu,0.569051,1.87156,0.00496424,25,True,7.92419e-07,217.5
88,123,0.971374,32,gelu,0.601639,1.57257,0.0019554,50,True,3.50326e-07,268.5
89,128,0.971374,16,gelu,0.278603,6.91207,0.00495897,55,True,2.82793e-06,214.0
90,133,0.971374,32,gelu,0.640531,3.42489,0.00326881,10,True,1.98858e-06,116.8
91,138,0.971374,32,gelu,0.629809,5.6957,0.00211833,25,True,2.5804e-06,265.9
92,143,0.971374,64,gelu,0.643248,4.83509,0.00252626,20,True,2.06316e-05,225.7
93,144,0.971374,64,gelu,0.688258,1.75736,0.00171223,50,True,8.15613e-05,219.0
94,154,0.971374,16,gelu,0.642141,6.78162,0.00276216,25,True,7.49164e-06,293.0
95,161,0.971374,32,gelu,0.629917,6.10901,0.00254798,35,True,2.01208e-05,228.8
96,163,0.971374,32,gelu,0.60413,7.0937,0.00205178,40,True,3.25911e-05,279.8
97,164,0.971374,32,gelu,0.673818,6.43944,0.00298337,30,True,2.5694e-05,258.6
98,172,0.971374,16,gelu,0.642169,5.6488,0.000867465,20,True,5.54183e-06,177.7
99,175,0.971374,16,gelu,0.555933,6.91564,0.00390459,20,True,6.30504e-06,273.5
100,179,0.971374,32,gelu,0.605576,5.89435,0.0016854,65,True,3.57092e-06,316.9
101,180,0.971374,16,gelu,0.574623,4.94882,0.00386463,30,True,1.38837e-05,318.8
102,181,0.971374,16,gelu,0.642834,6.99416,0.00130453,30,True,7.70837e-06,309.1
103,184,0.971374,16,gelu,0.178169,5.76454,4.29853e-05,25,True,8.41081e-06,131.2
104,194,0.971374,32,gelu,0.649144,5.78268,0.00485651,65,True,6.56235e-06,333.7
105,196,0.971374,32,gelu,0.616643,6.61889,0.00356059,30,True,1.58031e-05,309.3
106,201,0.971374,32,gelu,0.631265,1.49666,0.00304048,95,True,6.88923e-06,261.0
107,206,0.971374,16,gelu,0.646327,1.84523,0.00107115,60,True,1.12716e-06,321.8
108,209,0.971374,16,gelu,0.635587,2.28021,0.00134516,65,True,6.9338e-07,326.6
